id_bat,final_community
BAT_10906,0_434
BAT_10908,0_448
BAT_10909,0_46
BAT_10910,0_46
BAT_10911,0_46
BAT_10912,0_46
BAT_10913,0_46
BAT_10915,0_449
BAT_10916,0_111
BAT_10917,0_111
BAT_10918,0_450
BAT_10921,0_451
BAT_10923,0_452
BAT_10926,0_453
BAT_10927,0_111
BAT_10928,0_111
BAT_10929,0_111
BAT_10930,0_111
BAT_10931,0_111
BAT_10933,0_454
BAT_10935,0_455
BAT_10936,0_455
BAT_10938,0_30
BAT_10939,0_30
BAT_10940,0_31
BAT_10942,0_31
BAT_10944,0_31
BAT_10945,0_31
BAT_10946,0_31
BAT_10947,0_456
BAT_10948,0_456
BAT_10949,0_38
BAT_10950,0_38
BAT_10951,0_38
BAT_10953,0_36
BAT_10956,0_98
BAT_10957,0_47
BAT_10958,0_47
BAT_10960,0_47
BAT_10961,0_47
BAT_10962,0_47
BAT_10964,0_41
BAT_10965,0_41
BAT_10966,0_41
BAT_10968,0_457
BAT_10969,0_457
BAT_10970,0_457
BAT_10972,0_457
BAT_10973,0_457
BAT_10977,0_458
BAT_10978,0_458
BAT_10979,0_459
BAT_10980,0_459
BAT_10981,0_460
BAT_10982,0_460
BAT_10984,0_460
BAT_10985,0_461
BAT_10987,0_462
BAT_10988,0_3
BAT_10990,0_463
BAT_10991,0_463
BAT_10992,0_463
BAT_10994,0_464
BAT_10995,0_464
BAT_10996,0_465
BAT_10998,0_466
BAT_11000,0_466
BAT_11005,0_467
BAT_11006,0_468
